doi,title,journal,authors,date,source,pmid,pmc,genbank,pdb,accession,protein,nucleotide,geninfo,refseq
10.1126/science.abj0299,Immune correlates of protection by mRNA-1273 vaccine against SARS-CoV-2 in nonhuman primates.,"Science (New York, N.Y.)","['Corbett, K.S.', 'Nason, M.C.', 'Flach, B.', 'Gagne, M.', 'Connell, S.O.', 'Johnston, T.S.', 'Shah, S.N.', 'Edara, V.V.', 'Floyd, K.', 'Lai, L.', 'McDanal, C.', 'Francica, J.R.', 'Flynn, B.', 'Wu, K.', 'Choi, A.', 'Koch, M.', 'Abiona, O.M.', 'Werner, A.P.', 'Moliva, J.I.', 'Andrew, S.F.', 'Donaldson, M.M.', 'Fintzi, J.', 'Flebbe, D.R.', 'Lamb, E.', 'Noe, A.T.', 'Nurmukhambetova, S.T.', 'Provost, S.J.', 'Cook, A.', 'Dodson, A.', 'Faudree, A.', 'Greenhouse, J.', 'Kar, S.', 'Pessaint, L.', 'Porto, M.', 'Steingrebe, K.', 'Valentin, D.', 'Zouantcha, S.', 'Bock, K.W.', 'Minai, M.', 'Nagata, B.M.', 'Wetering, R.', 'Boyoglu-Barnum, S.', 'Leung, K.', 'Shi, W.', 'Yang, E.S.', 'Zhang, Y.', 'Todd, J.M.', 'Wang, L.', 'Alvarado, G.S.', 'Andersen, H.', 'Foulds, K.E.', 'Edwards, D.K.', 'Mascola, J.R.', 'Moore, I.N.', 'Lewis, M.G.', 'Carfi, A.', 'Montefiori, D.', 'Suthar, M.S.', 'McDermott, A.', 'Roederer, M.', 'Sullivan, N.J.', 'Douek, D.C.', 'Graham, B.S.', 'Seder, R.A.']",2021-09-17,pubmed,34529476,8449013,False,True,False,True,True,False,False
10.1109/TCBB.2021.3076259,Detection of Binding Sites on SARS-CoV-2 Spike Protein Receptor-Binding Domain by Molecular Dynamics Simulations in Mixed Solvents.,IEEE/ACM transactions on computational biology and bioinformatics,"['Jokinen, E.M.', 'Gopinath, K.', 'Kurkinen, S.T.', 'Pentikainen, O.T.']",2021-04-30,pubmed,33914685,,True,False,False,True,True,False,True
10.3390/diagnostics11101757,Performance of a Surrogate SARS-CoV-2-Neutralizing Antibody Assay in Natural Infection and Vaccination Samples.,"Diagnostics (Basel, Switzerland)","['Chan, K.', 'Leung, K.', 'Zhang, R.', 'Liu, D.', 'Fan, Y.', 'Chen, H.', 'Yuen, K.', 'Hung, I.F.']",2021-10-24,pubmed,34679455,8534648,False,True,False,True,True,False,False
10.1248/bpb.b21-01081,Simultaneous Screening of SARS-CoV-2 Omicron and Delta Variants Using High-Resolution Melting Analysis.,Biological & pharmaceutical bulletin,"['Aoki, A.', 'Mori, Y.', 'Okamoto, Y.', 'Jinno, H.']",2022-01-25,pubmed,35067489,,False,False,False,True,False,False,False
10.1101/2021.05.09.443341,"Synthetic Nanobody-Functionalized Nanoparticles for Accelerated Development of Rapid, Accessible Detection of Viral Antigens",bioRxiv : the preprint server for biology,"['Chen, X.', 'Kang, S.', 'Ikbal, M.A.', 'Zhao, Z.', 'Pan, Y.', 'Zuo, J.', 'Gu, L.', 'Wang, C.']",2021-09-30,biorxiv,,,False,False,False,True,False,False,False
10.1016/j.isci.2020.101735,Robust and Specific Secretory IgA Against SARS-CoV-2 Detected in Human Milk.,iScience,"['Fox, A.', 'Marino, J.', 'Amanat, F.', 'Krammer, F.', 'Hahn-Holbrook, J.', 'Zolla-Pazner, S.', 'Powell, R.L.']",2020-11-03,pubmed,33134887,7586930,False,True,False,True,True,False,False
10.1073/pnas.2102435118,Inhibition of elastase enhances the adjuvanticity of alum and promotes anti-SARS-CoV-2 systemic and mucosal immunity.,Proceedings of the National Academy of Sciences of the United States of America,"['Kim, E.', 'Attia, Z.', 'Woodfint, R.M.', 'Zeng, C.', 'Kim, S.H.', 'Steiner, H.E.', 'Shukla, R.K.', 'Liyanage, N.P.M.', 'Ghimire, S.', 'Li, J.', 'Renukaradhya, G.J.', 'Satoskar, A.R.', 'Amer, A.O.', 'Liu, S.', 'Cormet-Boyaka, E.', 'Boyaka, P.N.']",2021-08-07,pubmed,34353890,8403952,True,True,False,True,True,False,True
10.1080/22221751.2021.1913973,Correlation of humoral immune responses to different SARS-CoV-2 antigens with virus neutralizing antibodies and symptomatic severity in a German COVID-19 cohort.,Emerging microbes & infections,"['Rockstroh, A.', 'Wolf, J.', 'Fertey, J.', 'Kalbitz, S.', 'Schroth, S.', 'L, C.', 'Ulbert, S.', 'Borte, S.']",2021-04-09,pubmed,33830901,8079054,False,True,False,True,True,False,False
10.1007/s15010-021-01731-5,"Age, COVID-19-like symptoms and SARS-CoV-2 seropositivity profiles after the first wave of the pandemic in France.",Infection,"['Carrat, F.', 'Lapidus, N.', 'Ninove, L.', 'Blanch, H.', 'Rahib, D.', 'Villarroel, P.M.S.', 'Touvier, M.', 'Severi, G.', 'Zins, M.', 'Deleuze, J.', 'Lamballerie, X.', 'None, N.']",2021-11-26,pubmed,34822130,8614216,False,True,False,True,True,False,False
10.1016/j.celrep.2021.110114,Anti-SARS-CoV-2 antibodies elicited by COVID-19 mRNA vaccine exhibit a unique glycosylation pattern.,Cell reports,"['Farkash, I.', 'Feferman, T.', 'Cohen-Saban, N.', 'Avraham, Y.', 'Morgenstern, D.', 'Mayuni, G.', 'Barth, N.', 'Lustig, Y.', 'Miller, L.', 'Shouval, D.S.', 'Biber, A.', 'Kirgner, I.', 'Levin, Y.', 'Dahan, R.']",2021-12-10,pubmed,34883043,8610888,False,True,True,True,True,False,False
10.3389/fmicb.2021.752739,An Intranasal Vaccine Based on Outer Membrane Vesicles Against SARS-CoV-2.,Frontiers in microbiology,"['Thapa, H.B.', 'M, A.M.', 'Camilli, A.', 'Schild, S.']",2021-11-23,pubmed,34803974,8602898,False,True,False,True,True,False,False
10.1021/acssynbio.0c00566,Toolkit for Quickly Generating and Characterizing Molecular Probes Specific for SARS-CoV-2 Nucleocapsid as a Primer for Future Coronavirus Pandemic Preparedness.,ACS synthetic biology,"['Sherwood, L.J.', 'Hayhurst, A.']",2021-02-04,pubmed,33534552,7875338,True,True,False,True,True,False,True
10.1016/j.virol.2019.04.003,Differential recognition of peptides within feline coronavirus polyprotein 1 ab by sera from healthy cats and cats with feline infectious peritonitis.,Virology,"['Chernyavtseva, A.', 'Cave, N.J.', 'Munday, J.S.', 'Dunowska, M.']",2019-05-03,pubmed,31048107,7112048,False,True,False,True,True,False,True
10.1016/j.ebiom.2015.08.031,Recombinant Receptor Binding Domain Protein Induces Partial Protective Immunity in Rhesus Macaques Against Middle East Respiratory Syndrome Coronavirus Challenge.,EBioMedicine,"['Lan, J.', 'Yao, Y.', 'Deng, Y.', 'Chen, H.', 'Lu, G.', 'Wang, W.', 'Bao, L.', 'Deng, W.', 'Wei, Q.', 'Gao, G.F.', 'Qin, C.', 'Tan, W.']",2015-12-03,pubmed,26629538,4634622,False,True,False,True,True,False,False
10.1093/infdis/jiaa479,SARS-CoV-2-Specific Antibody Detection for Seroepidemiology: A Multiplex Analysis Approach Accounting for Accurate Seroprevalence.,The Journal of infectious diseases,"['Hartog, G.', 'Schepp, R.M.', 'Kuijer, M.', 'Kessel, C.G.', 'Beek, J.', 'Rots, N.', 'Koopmans, M.P.G.', 'Klis, F.R.M.', 'Binnendijk, R.S.']",2020-08-09,pubmed,32766833,7454740,False,True,False,True,True,False,False
10.1101/2022.01.03.22268684,Burden of SARS-CoV-2 and protection from symptomatic second infection in children.,medRxiv : the preprint server for health sciences,"['Kubale, J.', 'Balmaseda, A.', 'Frutos, A.M.', 'Sanchez, N.', 'Plazaola, M.', 'Ojeda, S.', 'Saborio, S.', 'Lopez, R.', 'Barilla, C.', 'Vasquez, G.', 'Moreira, H.', 'Gajewski, A.', 'Campredon, L.', 'Maier, H.', 'Chowdhury, M.', 'Cerpas, C.', 'Harris, E.', 'Kuan, G.', 'Gordon, A.']",2022-01-13,pubmed,35018380,8750653,False,True,False,True,True,False,False
10.3389/fimmu.2022.811952,Measurement of SARS-CoV-2 Antibody Titers Improves the Prediction Accuracy of COVID-19 Maximum Severity by Machine Learning in Non-Vaccinated Patients.,Frontiers in immunology,"['Kurano, M.', 'Ohmiya, H.', 'Kishi, Y.', 'Okada, J.', 'Nakano, Y.', 'Yokoyama, R.', 'Qian, C.', 'Xia, F.', 'He, F.', 'Zheng, L.', 'Yu, Y.', 'Jubishi, D.', 'Okamoto, K.', 'Moriya, K.', 'Kodama, T.', 'Yatomi, Y.']",2022-02-08,pubmed,35126396,8814445,False,True,False,True,True,False,False
10.1093/cid/ciaa1345,Sustained Responses of Neutralizing Antibodies Against Middle East Respiratory Syndrome Coronavirus (MERS-CoV) in Recovered Patients and Their Therapeutic Applicability.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,"['Kim, Y.', 'Aigerim, A.', 'Park, U.', 'Kim, Y.', 'Park, H.', 'Rhee, J.', 'Choi, J.', 'Park, W.B.', 'Park, S.W.', 'Kim, Y.', 'Lim, D.', 'Choi, J.', 'Jeon, Y.K.', 'Yang, J.', 'Lee, J.', 'Shin, H.', 'Cho, N.']",2020-09-09,pubmed,32898238,7499518,False,True,False,True,True,False,False
10.1128/JVI.65.12.6979-6984.1991,"A conserved coronavirus epitope, critical in virus neutralization, mimicked by internal-image monoclonal anti-idiotypic antibodies.",Journal of virology,"['Su, C.', 'Smerdou, C.', 'Ant, I.M.', 'Abril, P.', 'Plana, J.', 'Enjuanes, L.']",1991-12-01,pubmed,1719237,,False,False,False,True,False,False,False
10.1101/2021.10.22.465476,A humanized nanobody phage display library yields potent binders of SARS CoV-2 spike,bioRxiv : the preprint server for biology,"['Fu, Y.', 'daFonsecaRezendeeMello, J.', 'Fleming, B.D.', 'Renn, A.', 'Chen, C.Z.', 'Hu, X.', 'Xu, M.', 'Gorshkov, K.', 'Hanson, Q.', 'Zheng, W.', 'Lee, E.M.', 'Perera, L.', 'Petrovich, R.', 'Pradhan, M.', 'Eastman, R.T.', 'Itkin, Z.', 'Stanley, T.', 'Hsu, A.', 'Dandey, V.', 'Gillette, W.', 'Taylor, T.', 'Ramakrishnan, N.', 'Perkins, S.', 'Esposito, D.', 'Oh, E.', 'Susumu, K.', 'Wolak, M.', 'Ferrer, M.', 'Hall, M.D.', 'Borgnia, M.J.', 'Simeonov, A.']",2022-03-01,biorxiv,34729560,8562546,False,True,True,True,True,False,False
10.1016/j.chom.2021.12.004,Strong humoral immune responses against SARS-CoV-2 Spike after BNT162b2 mRNA vaccination with a 16-week interval between doses.,Cell host & microbe,"['Tauzin, A.', 'Gong, S.Y.', 'Beaudoin-Bussi, G.', 'V, D.', 'Gasser, R.', 'Nault, L.', 'Marchitto, L.', 'Benlarbi, M.', 'Chatterjee, D.', 'Nayrac, M.', 'Laumaea, A.', 'Pr, J.', 'Boutin, M.', 'Sannier, G.', 'Nicolas, A.', 'Bourassa, C.', 'Gendron-Lepage, G.', 'Medjahed, H.', 'Goyette, G.', 'Bo, Y.', 'Perreault, J.', 'Gokool, L.', 'Morrisseau, C.', 'Arlotto, P.', 'Bazin, R.', 'Dub, M.', 'Serres, G.D.', 'Brousseau, N.', 'Richard, J.', 'Rovito, R.', 'C, M.', 'Tremblay, C.', 'Marchetti, G.C.', 'Duerr, R.', 'Martel-Laferri, V.', 'Kaufmann, D.E.', 'Finzi, A.']",2021-12-27,pubmed,34953513,8639412,False,True,False,True,True,False,False
10.1016/j.jiph.2020.12.006,Bioinformatics prediction of B and T cell epitopes within the spike and nucleocapsid proteins of SARS-CoV2.,Journal of infection and public health,"['Dawood, R.M.', 'El-Meguid, M.A.', 'Salum, G.M.', 'El-Wakeel, K.', 'Shemis, M.', 'Awady, M.K.E.']",2021-01-25,pubmed,33486372,7737509,True,True,True,True,True,False,False
10.1016/j.jim.2022.113243,Clinical and analytical evaluation of the Abbott AdviseDx quantitative SARS-CoV-2 IgG assay and comparison with two other serological tests.,Journal of immunological methods,"['Maine, G.N.', 'Krishnan, S.M.', 'Walewski, K.', 'Trueman, J.', 'Sykes, E.', 'Sun, Q.']",2022-02-20,pubmed,35181288,8847080,False,True,False,True,True,False,False
10.1016/j.celrep.2021.109838,In vivo characterization of emerging SARS-CoV-2 variant infectivity and human antibody escape potential.,Cell reports,"['Lam, B.', 'Kung, Y.J.', 'Lin, J.', 'Tseng, S.', 'Tsai, Y.C.', 'He, L.', 'Castiglione, G.', 'Egbert, E.', 'Duh, E.J.', 'Bloch, E.M.', 'Tobian, A.A.R.', 'Milstone, A.M.', 'Roden, R.B.S.', 'Wu, T.', 'Hung, C.']",2021-10-15,pubmed,34648735,8491932,False,True,False,True,True,False,False
10.3390/vaccines9050517,Neutralizing Antibody Response of Vaccinees to SARS-CoV-2 Variants.,Vaccines,"['Anichini, G.', 'Terrosi, C.', 'Savellini, G.G.', 'Gandolfo, C.', 'Franchi, F.', 'Cusi, M.G.']",2021-06-03,pubmed,34069852,8157345,True,True,False,True,True,False,False
10.1016/j.matt.2021.04.005,Nanotraps for the containment and clearance of SARS-CoV-2.,Matter,"['Chen, M.', 'Rosenberg, J.', 'Cai, X.', 'Lee, A.C.H.', 'Shi, J.', 'Nguyen, M.', 'Wignakumar, T.', 'Mirle, V.', 'Edobor, A.J.', 'Fung, J.', 'Donington, J.S.', 'Shanmugarajah, K.', 'Lin, Y.', 'Chang, E.', 'Randall, G.', 'Master, P.P.', 'Tian, B.', 'Madariaga, M.L.', 'Huang, J.']",2021-04-29,pubmed,33907732,8062026,False,True,False,True,True,False,False
10.1038/s41422-021-00558-x,Mechanical activation of spike fosters SARS-CoV-2 viral infection.,Cell research,"['Hu, W.', 'Zhang, Y.', 'Fei, P.', 'Zhang, T.', 'Yao, D.', 'Gao, Y.', 'Liu, J.', 'Chen, H.', 'Lu, Q.', 'Mudianto, T.', 'Zhang, X.', 'Xiao, C.', 'Ye, Y.', 'Sun, Q.', 'Zhang, J.', 'Xie, Q.', 'Wang, P.', 'Wang, J.', 'Li, Z.', 'Lou, J.', 'Chen, W.']",2021-09-02,pubmed,34465913,8406658,False,True,False,True,True,False,False
10.1096/fasebj.9.1.7821758,Anti-idiotypic antibodies: biological function and structural studies.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,"['Pan, Y.', 'Yuhasz, S.C.', 'Amzel, L.M.']",1995-01-01,pubmed,7821758,,False,False,False,True,False,False,False
10.1038/nm.3985,A SARS-like cluster of circulating bat coronaviruses shows potential for human emergence.,Nature medicine,"['Menachery, V.D.', 'Yount, B.L.', 'Debbink, K.', 'Agnihothram, S.', 'Gralinski, L.E.', 'Plante, J.A.', 'Graham, R.L.', 'Scobey, T.', 'Ge, X.', 'Donaldson, E.F.', 'Randell, S.H.', 'Lanzavecchia, A.', 'Marasco, W.A.', 'Shi, Z.', 'Baric, R.S.']",2015-11-10,pubmed,26552008,4797993,True,True,True,True,True,False,False
10.1016/j.jviromet.2020.113979,High-throughput viral microneutralization method for feline coronavirus using image cytometry.,Journal of virological methods,"['Pearson, M.', 'Voy, A.L.', 'Chan, L.L.', 'Dean, G.A.']",2020-09-27,pubmed,32979406,7510446,False,True,False,True,True,False,False
10.2196/24211,Molecular and Cellular Biomarkers of COVID-19 Prognosis: Protocol for the Prospective Cohort TARGET Study.,JMIR research protocols,"['Kurizky, P.', 'N, O.T.', 'Soares, A.A.D.S.M.', 'Aires, R.B.', 'Albuquerque, C.P.D.', 'Nicola, A.M.', 'Albuquerque, P.', 'Teixeira-Carvalho, A.', 'Naves, L.A.', 'Fontes, W.', 'Luz, I.S.', 'Felicori, L.', 'Gomides, A.P.M.', 'Silva, D.L.M.', 'Espindola, L.S.', 'Martins-Filho, O.A.', 'Lima, S.M.B.', 'Mota, L.M.H.', 'Gomes, C.M.']",2021-03-05,pubmed,33661132,7935398,False,True,True,True,True,False,False
10.1038/s41467-021-22102-6,A homogeneous split-luciferase assay for rapid and sensitive detection of anti-SARS CoV-2 antibodies.,Nature communications,"['Yao, Z.', 'Drecun, L.', 'Aboualizadeh, F.', 'Kim, S.J.', 'Li, Z.', 'Wood, H.', 'Valcourt, E.J.', 'Manguiat, K.', 'Plenderleith, S.', 'Yip, L.', 'Li, X.', 'Zhong, Z.', 'Yue, F.Y.', 'Closas, T.', 'Snider, J.', 'Tomic, J.', 'Drews, S.J.', 'Drebot, M.A.', 'McGeer, A.', 'Ostrowski, M.', 'Mubareka, S.', 'Rini, J.M.', 'Owen, S.', 'Stagljar, I.']",2021-03-24,pubmed,33753733,7985487,False,True,False,True,True,False,False
10.1016/j.immuni.2022.01.001,mRNA-1273 vaccine-induced antibodies maintain Fc effector functions across SARS-CoV-2 variants of concern.,Immunity,"['Kaplonek, P.', 'Fischinger, S.', 'Cizmeci, D.', 'Bartsch, Y.C.', 'Kang, J.', 'Burke, J.S.', 'Shin, S.A.', 'Dayal, D.', 'Martin, P.', 'Mann, C.', 'Amanat, F.', 'Julg, B.', 'Nilles, E.J.', 'Musk, E.R.', 'Menon, A.S.', 'Krammer, F.', 'Saphire, E.O.', 'Carfi, N.A.', 'Alter, G.']",2022-01-30,pubmed,35090580,8733218,False,True,False,True,True,False,False
10.1101/2021.02.02.429431,Potential global impact of the N501Y mutation on MHC-II presentation and immune escape,bioRxiv : the preprint server for biology,"['Castro, A.', 'Carter, H.', 'Zanetti, M.']",2021-02-03,biorxiv,,,False,False,False,True,False,False,False
10.1186/s13045-021-01183-2,Response to COVID-19 mRNA vaccination in multiple myeloma is conserved but impaired compared to controls.,Journal of hematology & oncology,"['Bitoun, S.', 'Henry, J.', 'Vauloup-Fellous, C.', 'Dib, N.', 'Belkhir, R.', 'Mouna, L.', 'Joly, C.', 'Desjardins, D.', 'Bitu, M.', 'Grand, R.L.', 'Seror, R.', 'Afonso, A.R.', 'Mariette, X.']",2021-10-15,pubmed,34645504,8512646,False,True,False,True,True,False,False
10.1093/cid/ciab884,One-year sustained cellular and humoral immunities of COVID-19 convalescents.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,"['Zhang, J.', 'Lin, H.', 'Ye, B.', 'Zhao, M.', 'Zhan, J.', 'Dong, S.', 'Guo, Y.', 'Zhao, Y.', 'Li, M.', 'Liu, S.', 'Zhang, H.', 'Xiao, W.', 'Guo, Y.', 'Yue, C.', 'Zhang, D.', 'Yang, M.', 'Zhang, J.', 'Quan, C.', 'Shi, W.', 'Liu, X.', 'Liu, P.', 'Jiang, Y.', 'Wu, G.', 'Gao, G.F.', 'Liu, W.J.']",2021-10-06,pubmed,34609506,8524303,False,True,False,True,True,False,False
10.1111/pai.13737,Characterization of the antibody response to SARS-CoV-2 in a mildly affected pediatric population.,Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology,"['Kopanja, S.', 'Gattinger, P.', 'Schmidthaler, K.', 'Sieber, J.', 'Niepodziana, K.', 'Schlederer, T.', 'Weseslindtner, L.', 'Stiasny, K.', 'G, F.', 'Pickl, W.F.', 'Frischer, T.', 'Valenta, R.', 'Sz, Z.']",2022-02-26,pubmed,35212039,,False,False,False,True,False,False,False
10.1101/2021.01.25.427948,mRNA-1273 vaccine induces neutralizing antibodies against spike mutants from global SARS-CoV-2 variants.,bioRxiv : the preprint server for biology,"['Wu, K.', 'Werner, A.P.', 'Moliva, J.I.', 'Koch, M.', 'Choi, A.', 'Stewart-Jones, G.B.E.', 'Bennett, H.', 'Boyoglu-Barnum, S.', 'Shi, W.', 'Graham, B.S.', 'Carfi, A.', 'Corbett, K.S.', 'Seder, R.A.', 'Edwards, D.K.']",2021-01-28,pubmed,33501442,7836112,True,True,False,True,True,False,False
10.18632/oncotarget.8475,MERS-CoV virus-like particles produced in insect cells induce specific humoural and cellular imminity in rhesus macaques.,Oncotarget,"['Wang, C.', 'Zheng, X.', 'Gai, W.', 'Zhao, Y.', 'Wang, H.', 'Wang, H.', 'Feng, N.', 'Chi, H.', 'Qiu, B.', 'Li, N.', 'Wang, T.', 'Gao, Y.', 'Yang, S.', 'Xia, X.']",2016-04-07,pubmed,27050368,5355045,True,True,True,True,True,False,False
10.1021/acsmedchemlett.0c00409,Striking Similarities between CDRs in Some mAbs That Neutralize COVID-19.,ACS medicinal chemistry letters,"['Mi, T.', 'Burgess, K.']",2020-09-17,pubmed,32934769,7423023,False,True,False,True,True,False,False
10.1089/vim.2012.0076,Immunogenicity and protection efficacy of monomeric and trimeric recombinant SARS coronavirus spike protein subunit vaccine candidates.,Viral immunology,"['Li, J.', 'Ulitzky, L.', 'Silberstein, E.', 'Taylor, D.R.', 'Viscidi, R.']",2013-04-12,pubmed,23573979,3624630,False,True,False,True,True,False,False
10.1371/journal.pone.0248348,Establishment of a well-characterized SARS-CoV-2 lentiviral pseudovirus neutralization assay using 293T cells with stable expression of ACE2 and TMPRSS2.,PloS one,"['Neerukonda, S.N.', 'Vassell, R.', 'Herrup, R.', 'Liu, S.', 'Wang, T.', 'Takeda, K.', 'Yang, Y.', 'Lin, T.', 'Wang, W.', 'Weiss, C.D.']",2021-03-11,pubmed,33690649,7946320,True,True,True,True,True,False,False
10.1056/NEJMc2106083,BNT162b2-Elicited Neutralization against New SARS-CoV-2 Spike Variants.,The New England journal of medicine,"['Liu, Y.', 'Liu, J.', 'Xia, H.', 'Zhang, X.', 'Zou, J.', 'Fontes-Garfias, C.R.', 'Weaver, S.C.', 'Swanson, K.A.', 'Cai, H.', 'Sarkar, R.', 'Chen, W.', 'Cutler, M.', 'Cooper, D.', 'Muik, A.', 'Sahin, U.', 'Jansen, K.U.', 'Xie, X.', 'Dormitzer, P.R.', 'Shi, P.']",2021-05-13,pubmed,33979486,8133696,True,True,True,True,True,False,False
10.1021/acscentsci.0c01405,A Single Immunization with Spike-Functionalized Ferritin Vaccines Elicits Neutralizing Antibody Responses against SARS-CoV-2 in Mice.,ACS central science,"['Powell, A.E.', 'Zhang, K.', 'Sanyal, M.', 'Tang, S.', 'Weidenbacher, P.A.', 'Li, S.', 'Pham, T.D.', 'Pak, J.E.', 'Chiu, W.', 'Kim, P.S.']",2021-02-03,pubmed,33527087,7805605,True,True,True,True,True,False,False
10.1111/tbed.12579,Characterization of a Novel Chimeric Swine Enteric Coronavirus from Diseased Pigs in Central Eastern Europe in 2016.,Transboundary and emerging diseases,"['Belsham, G.J.', 'Rasmussen, T.B.', 'Normann, P.', 'Vaclavek, P.', 'Strandbygaard, B.', 'B, A.']",2016-10-23,pubmed,27619563,7169874,True,True,False,True,True,False,False
10.1016/j.chom.2021.03.002,SARS-CoV-2 variant B.1.1.7 is susceptible to neutralizing antibodies elicited by ancestral spike vaccines.,Cell host & microbe,"['Shen, X.', 'Tang, H.', 'McDanal, C.', 'Wagh, K.', 'Fischer, W.', 'Theiler, J.', 'Yoon, H.', 'Li, D.', 'Haynes, B.F.', 'Sanders, K.O.', 'Gnanakaran, S.', 'Hengartner, N.', 'Pajon, R.', 'Smith, G.', 'Glenn, G.M.', 'Korber, B.', 'Montefiori, D.C.']",2021-03-12,pubmed,33705729,7934674,True,True,True,True,True,False,False
10.1016/j.diagmicrobio.2020.115273,Seroprevalence of SARS-CoV-2 (COVID-19) among healthcare workers in Saudi Arabia: comparing case and control hospitals.,Diagnostic microbiology and infectious disease,"['Alserehi, H.A.', 'Alqunaibet, A.M.', 'Al-Tawfiq, J.A.', 'Alharbi, N.K.', 'Alshukairi, A.N.', 'Alanazi, K.H.', 'Saleh, G.M.B.', 'Alshehri, A.M.', 'Almasoud, A.', 'Hashem, A.M.', 'Alruwaily, A.R.', 'Alaswad, R.H.', 'Al-Mutlaq, H.M.', 'Almudaiheem, A.A.', 'Othman, F.M.', 'Aldakeel, S.A.', 'Ghararah, M.R.A.', 'Jokhdar, H.A.', 'Algwizani, A.R.', 'Almudarra, S.S.', 'Albarrag, A.M.']",2020-12-10,pubmed,33296851,7677039,False,True,False,True,True,False,False
10.1038/s41591-021-01540-1,Correlates of protection against symptomatic and asymptomatic SARS-CoV-2 infection.,Nature medicine,"['Feng, S.', 'Phillips, D.J.', 'White, T.', 'Sayal, H.', 'Aley, P.K.', 'Bibi, S.', 'Dold, C.', 'Fuskova, M.', 'Gilbert, S.C.', 'Hirsch, I.', 'Humphries, H.E.', 'Jepson, B.', 'Kelly, E.J.', 'Plested, E.', 'Shoemaker, K.', 'Thomas, K.M.', 'Vekemans, J.', 'Villafana, T.L.', 'Lambe, T.', 'Pollard, A.J.', 'Voysey, M.', 'None, N.']",2021-10-01,pubmed,34588689,8604724,False,True,False,True,True,False,False
10.1101/2021.04.29.441933,Possible link between higher transmissibility of B.1.617 and B.1.1.7 variants of SARS-CoV-2 and increased structural stability of its spike protein and hACE2 affinity,bioRxiv : the preprint server for biology,"['Kumar, V.', 'Singh, J.', 'Hasnain, S.E.', 'Sundar, D.']",2021-04-29,biorxiv,,,False,True,False,True,False,False,False
10.1007/s40121-021-00574-9,Short-Term Immunogenicity Profiles and Predictors for Suboptimal Immune Responses in Patients with End-Stage Kidney Disease Immunized with Inactivated SARS-CoV-2 Vaccine.,Infectious diseases and therapy,"['Boongird, S.', 'Chuengsaman, P.', 'Setthaudom, C.', 'Nongnuch, A.', 'Assanatham, M.', 'Phanprasert, S.', 'Kitpermkiat, R.', 'Kiertiburanakul, S.', 'Malathum, K.', 'Phuphuakrat, A.', 'Davenport, A.', 'Bruminhent, J.']",2021-12-04,pubmed,34859359,8639296,False,True,False,True,True,False,False
10.1038/d41586-020-02154-2,Coronavirus vaccines get a biotech boost.,Nature,"['Dance, A.']",2020-07-23,pubmed,32694847,,False,False,False,True,False,False,False
10.1371/journal.pcbi.1009664,Viral surface geometry shapes influenza and coronavirus spike evolution through antibody pressure.,PLoS computational biology,"['Amitai, A.']",2021-12-14,pubmed,34898597,8699686,False,True,False,True,True,False,False
10.1016/0042-6822(87)90145-0,Epitopes on the peplomer protein of infectious bronchitis virus strain M41 as defined by monoclonal antibodies.,Virology,"['Niesters, H.G.', 'Bleumink-Pluym, N.M.', 'Osterhaus, A.D.', 'Horzinek, M.C.', 'Zeijst, B.A.']",1987-12-01,pubmed,2446423,7131525,False,True,False,True,True,False,False
10.1006/viro.2001.0932,Mouse hepatitis virus replicase protein complexes are translocated to sites of M protein accumulation in the ERGIC at late times of infection.,Virology,"['Bost, A.G.', 'Prentice, E.', 'Denison, M.R.']",2001-06-21,pubmed,11414802,7130751,False,True,False,True,True,False,False
10.1126/scitranslmed.abj7125,A broadly cross-reactive antibody neutralizes and protects against sarbecovirus challenge in mice.,Science translational medicine,"['Martinez, D.R.', 'Sch, A.', 'Gobeil, S.', 'Li, D.', 'Cruz, G.D.', 'Parks, R.', 'Lu, X.', 'Barr, M.', 'Stalls, V.', 'Janowska, K.', 'Beaudoin, E.', 'Manne, K.', 'Mansouri, K.', 'Edwards, R.J.', 'Cronin, K.', 'Yount, B.', 'Anasti, K.', 'Montgomery, S.A.', 'Tang, J.', 'Golding, H.', 'Shen, S.', 'Zhou, T.', 'Kwong, P.D.', 'Graham, B.S.', 'Mascola, J.R.', 'Montefiori, D.C.', 'Alam, S.M.', 'Sempowski, G.', 'Sempowski, G.D.', 'Khurana, S.', 'Wiehe, K.', 'Saunders, K.O.', 'Acharya, P.', 'Haynes, B.F.', 'Baric, R.S.']",2021-11-03,pubmed,34726473,8899823,True,True,False,True,True,False,False
10.1038/s41392-021-00478-7,Characterization of SARS-CoV-2-specific antibodies in COVID-19 patients reveals highly potent neutralizing IgA.,Signal transduction and targeted therapy,"['Zeng, W.', 'Ma, H.', 'Ding, C.', 'Yang, Y.', 'Sun, Y.', 'Huang, X.', 'He, W.', 'Xiang, Y.', 'Gao, Y.', 'Jin, T.']",2021-01-31,pubmed,33514692,7844101,False,True,False,True,True,False,False
